Genome	taxID	taxLvl	seqLvl	ANI	Completeness	Contamination	Contigs	N50	GC	Coding_density	Predicted_genes	Lowest	RTLpath	Mash	Dada2	Centrifuge	Kaiju	CheckM	
Arthrobacter_sp_PAMC25486_genomic	1494608	species	species	100.00	99.31	2.63	1	4593580	62.8	86.97	4206	1494608	1494608	1494608	1663	1494608	1494608	1268
Thermotoga_maritima_strain_Tma200_genomic	2336	species	species	100.00	100.00	3.51	1	1859583	46.3	95.03	1840	2336	2336	2336	2335	2336	2336	2
Marinobacter_sp_CP1_genomic	2742	genus	genus	100.00	100.00	0.54	1	4768423	56.9	90.35	4407	2742	1033846	1671721	2742	1033846	1033846	1236
Maribacter_sp_HTCC2170_genomic	313603	species	species	100.00	99.50	0.38	1	3868305	37.0	92.54	3409	313603	313603	313603	252356	313603	313603	1
Nitrosopumilus_maritimus_SCM1_genomic	338192	species	genus	85.02	100.00	0.97	1	1645260	34.2	91.96	1947	338192	338192	1	1	338192	338192	2157
Hippea_maritima_DSM_10411_genomic	84405	species	species	100.00	99.59	1.03	1	1694431	37.5	94.67	1737	84405	84405	84405	84404	84405	84405	2
Trichodesmium_erythraeum_IMS101_genomic	1206	species	species	100.00	99.71	0.44	1	7750109	34.1	62.49	5431	1206	1206	1206	1117	1206	1206	1117
Thermococcus_sp_CDGS_genomic	2263	genus	genus	100.00	100.00	1.24	1	1928801	51.1	87.20	2270	2263	342948	1712654	2157	342948	342948	28890
Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA_genomic	713887	species	species	100.00	73.92	0.00	1	1443807	31.1	80.82	1196	713887	713887	713887	1117	713887	713887	1117
Thermoplasma_volcanium_GSS1_genomic	50339	species	species	100.00	97.97	0.00	1	1584805	39.9	87.22	1635	50339	50339	50339	1	50339	50339	28890
Novosphingobium_pentaromativorans_US6-1_genomic	205844	species	species	100.00	99.93	0.94	6	3979506	63.0	89.66	5132	205844	205844	205844	1	205844	205844	204457
Salinispora_tropica_CNB-440_genomic	1760	class	class	100.00	100.00	0.26	1	5183332	69.5	87.82	4682	1760	168695	168695	168694	168695	168695	2037
Methanococcus_maripaludis_X1_genomic	39152	species	species	100.00	99.50	0.00	1	1746698	32.9	89.30	1869	39152	39152	39152	1	39152	39152	28890
Pyrodictium_delaneyi_strain_Su06_genomic	2307	family	family	100.00	99.37	3.80	1	2023837	53.9	86.77	2107	2307	54248	1273541	2157	54248	54248	183924
A21_S21_contigs	29497	species	species	96.01	100.00	98.43	2612	12308	42.3	87.69	9415	29497	29497	29497	641	662	641	2
Pyrococcus_furiosus_DSM_3638_genomic	2261	species	species	100.00	99.50	0.00	1	1908257	40.8	91.24	2102	2261	2261	2261	2260	2261	2261	28890
Aeropyrum_camini_SY1_JCM_12091_genomic	229980	species	species	99.91	97.15	0.63	1	1595995	56.7	89.01	1634	229980	229980	229980	2157	229980	229980	183924
Spongiibacter_sp_IMCC21906_genomic	1620392	species	species	100.00	100.00	1.04	2	3468984	50.7	88.46	3234	1620392	1620392	1620392	630749	1236	1706375	1236
1_S1_contigs	55601	species	species	99.88	100.00	5.38	512	101616	44.0	86.97	4346	55601	55601	55601	1	55601	55601	641
Yersinia_ruckeri_strain_Big_Creek_74_genomic	91347	order	order	100.00	99.55	0.07	1	3699726	47.6	84.34	3272	91347	29486	29486	1	29486	29486	543
Helicobacter_sp_MIT_01-6242_genomic	209	genus	genus	100.00	95.42	1.76	1	1594791	40.8	90.29	1465	209	209	222136	209	209	95149	213849
Dokdonia_donghaensis_DSW-1_genomic	326319	genus	genus	100.00	99.62	0.51	1	3293945	38.2	91.02	2886	326319	313590	326320	326319	313590	313590	1
Alcanivorax_dieselolei_B5_genomic	285091	species	species	100.00	100.00	0.37	1	4928224	61.6	89.91	4415	285091	285091	285091	1	285091	285091	1236
Marinovum_algicola_DG_898_genomic	42444	species	species	100.00	99.29	1.05	12	3727131	65.2	90.74	5029	42444	42444	42444	367771	31989	31989	31989
Streptococcus_parauberis_KCTC_11537_genomic	1348	species	species	100.00	98.47	0.38	1	2143888	35.5	86.96	2353	1348	1348	1348	1	1348	1348	186826
A-2013-70-F524-2_S2_contigs	645	species	species	99.70	100.00	0.54	444	48171	58.8	85.98	4516	645	645	645	2	645	645	1236
Pseudomonas_stutzeri_strain_273_genomic	316	species	species	100.00	99.59	0.14	1	5030941	60.3	88.44	4684	316	316	316	286	316	316	1236
Acidobacteria_bacterium_Mor1_genomic	1224	phylum	phylum	76.99	99.15	3.47	2	5986666	66.8	92.99	4753	1224	1224	1	1	1224	2	2
Helicobacter_cetorum_MIT_00-7128_genomic	138563	species	species	100.00	99.94	0.00	2	1947646	34.5	89.18	1779	138563	138563	138563	209	138563	138563	213849
Pyrolobus_fumarii_1A_genomic	54252	species	species	100.00	99.05	0.79	1	1843268	54.9	88.53	2037	54252	54252	54252	2157	54252	54252	183924
Piscirickettsia_salmonis_strain_AY3800B_genomic	1238	species	species	100.00	98.81	0.00	5	3187887	39.9	83.03	3592	1238	1238	1238	1	1238	1238	1236
Shewanella_woodyi_ATCC_51908_genomic	60961	species	species	100.00	99.84	0.00	1	5935404	43.7	85.46	4996	60961	60961	60961	1	60961	60961	135622
7_S1_contigs	119644	species	species	89.40	100.00	40.29	3621	51410	60.7	82.84	9096	119644	119644	1	976	119644	119644	768507
Methanocaldococcus_infernus_ME_genomic	67760	species	species	100.00	99.05	0.00	1	1328195	33.6	92.73	1474	67760	67760	67760	196118	67760	67760	28890
Piscirickettsia_salmonis_strain_CGR02_genomic	1238	species	species	100.00	98.81	0.00	4	3205229	39.7	82.78	3489	1238	1238	1238	1	1238	1238	1236
V-H1309-2-4_S3_contigs	29497	species	species	98.04	100.00	2.27	515	327785	44.1	85.21	5165	29497	29497	29497	1236	662	662	641
VO6_S13_contigs	662	genus	genus	99.91	99.45	0.85	575	31574	44.9	85.88	3608	662	55601	28174	662	55601	55601	641
Tenacibaculum_dicentrarchi_strain_AY7486TD_genomic	669041	species	species	100.00	99.11	0.07	1	2918254	31.5	87.46	2493	669041	669041	669041	104267	49546	49546	49546
KCH3_S1_contigs	511678	genus	genus	98.68	99.86	0.97	196	167313	39.0	87.68	4412	511678	40269	688	2	40269	40269	641
Renibacterium_salmoninarum_ATCC_33209_genomic	1646	species	species	100.00	99.02	0.49	1	3155251	56.3	90.22	3528	1646	1646	1646	1645	1646	1646	1268
A-H130426-2_S6_contigs	40269	species	species	89.92	98.95	0.09	311	119385	38.9	85.66	3605	40269	40269	1	1236	40269	511678	641
Prochlorococcus_marinus_str_MIT_9312_genomic	1219	species	species	100.00	99.73	0.00	1	1709205	31.2	90.12	1922	1219	1219	1219	1117	1219	1219	1117
Pseudoalteromonas_phenolica_strain_KCTC_12086_genomic	161398	species	species	100.00	99.66	1.01	2	3845520	40.6	88.36	4217	161398	161398	161398	53246	53246	53246	1236
Vibrio_parahaemolyticus_UCM-V493_genomic	670	species	species	100.00	100.00	0.67	3	3445790	45.3	86.11	4726	670	670	670	2	670	670	662
Vibrio_vulnificus_strain_93U204_genomic	672	species	species	100.00	100.00	0.30	3	3315989	46.7	87.16	4565	672	672	672	662	672	672	641
Methylophaga_sp_JAM7_genomic	754477	species	species	100.00	100.00	0.38	2	2697465	47.9	92.33	2623	754477	754477	754477	1	754477	754477	1236
Piscirickettsia_salmonis_strain_PM22180B_genomic	1238	species	species	100.00	98.81	0.00	5	3186151	39.6	82.77	3557	1238	1238	1238	1	1238	1238	1236
Maribacter_sp_MAR_2009_60_genomic	1250153	species	species	100.00	99.67	0.33	2	4505700	36.1	91.68	3910	1250153	1250153	1250153	252356	252356	252356	1
ukjent3_S10_contigs	29497	species	species	97.66	100.00	3.17	488	203815	44.2	84.70	5560	29497	29497	29497	1236	662	662	641
Ilyobacter_polytropus_DSM_2926_genomic	167642	species	species	100.00	100.00	0.00	3	2046464	34.4	85.48	2949	167642	167642	167642	1	167642	167642	2
Piscirickettsia_salmonis_strain_PM58386B_genomic	1238	species	species	100.00	98.81	0.00	5	3193374	39.6	82.78	3574	1238	1238	1238	1	1238	1238	1236
Prochlorococcus_marinus_subsp_marinus_str_CCMP1375_genomic	1219	species	species	100.00	100.00	0.00	1	1751081	36.4	88.91	1908	1219	1219	1219	1117	1219	1219	1117
Francisella_noatunensis_subsp_orientalis_FNO24_genomic	657445	species	species	100.00	99.43	0.57	1	1862323	32.3	87.16	2186	657445	657445	657445	1	657445	657445	1236
Roseobacter_denitrificans_OCh_114_genomic	2434	species	species	100.00	99.25	0.00	5	4133097	58.9	90.43	4103	2434	2434	2434	2433	2434	2434	31989
A22_S22_contigs	511678	genus	genus	91.97	99.91	0.37	167	176697	39.0	88.02	4226	511678	511678	1	2	511678	511678	641
Titti21_S1_contigs	1380358	species	species	98.04	100.00	0.99	242	180040	54.7	88.65	5313	1380358	1380358	2745	2	1380358	1380358	1236
Desulfovibrio_africanus_str_Walvis_Bay_genomic	873	species	species	100.00	100.00	0.00	1	4200535	61.4	85.07	3785	873	873	873	872	873	873	28221
Piscirickettsia_salmonis_strain_PM37984A_genomic	1238	species	species	100.00	98.81	0.00	5	3046533	39.7	83.20	3403	1238	1238	1238	1237	1238	1238	1236
26_S2_contigs	237	genus	genus	84.58	99.29	0.50	295	85851	33.3	86.43	3709	237	237	1	49546	237	237	49546
Maricaulis_maris_MCS10_genomic	74318	species	species	100.00	99.51	0.00	1	3368781	62.7	90.22	3131	74318	74318	74318	74317	74318	74318	28211
Francisella_sp_TX077310_genomic	573570	species	species	100.00	100.00	0.14	1	2237380	31.6	91.49	2050	573570	573570	573570	1	262	262	1236
MvHd15_S6_contigs	58050	genus	genus	99.99	100.00	1.35	276	164592	39.3	85.90	4911	58050	58050	80854	1	58051	58050	1236
Synechococcus_sp_PCC_7002_genomic	32049	species	species	100.00	100.00	0.00	7	3008047	49.2	87.76	3233	32049	32049	32049	1117	32049	32049	1117
MvHd17_S7_contigs	58050	genus	genus	99.87	100.00	1.35	361	164618	39.2	85.84	4826	58050	58050	80854	1236	58051	58050	1236
MC4_S2_contigs	62322	species	species	97.21	99.68	0.00	184	160419	46.4	85.25	4449	62322	62322	22	1236	62322	62322	135622
Cycloclasticus_sp_P1_genomic	34067	genus	genus	100.00	97.96	0.86	1	2363216	42.0	92.13	2268	34067	1329899	385025	34067	1329899	1329899	1236
Francisella_noatunensis_subsp_orientalis_strain_FNO01_genomic	657445	species	species	100.00	98.85	0.57	1	1859831	32.3	87.33	2179	657445	657445	657445	1	657445	657445	1236
Pelobacter_carbinolicus_DSM_2380_genomic	19	species	species	100.00	99.35	0.65	1	3665894	55.1	86.66	3242	19	19	19	1	19	19	28221
Candidatus_Ruthia_magnifica_str_Cm_Calyptogena_magnifica_genomic	386487	species	species	100.00	94.16	0.00	1	1160783	34.0	81.55	1133	386487	386487	386487	1	386487	386487	1224
Prochlorococcus_sp_MIT_0604_genomic	1501268	species	species	100.00	99.73	0.00	1	1780062	31.2	89.92	2069	1501268	1501268	1501268	1117	1501268	1501268	1117
Alteromonas_mediterranea_strain_RG65_genomic	314275	species	species	100.00	99.84	0.49	2	4349864	44.5	87.63	4065	314275	314275	314275	1	314275	314275	1236
Pseudoalteromonas_rubra_strain_SCSIO_6842_genomic	43658	species	species	100.00	99.89	0.48	3	4532889	47.7	87.59	4963	43658	43658	43658	53246	43658	43658	1236
Actinoalloteichus_sp_GBA129-24_genomic	1760	class	class	100.00	100.00	1.78	2	7215977	70.1	83.16	6233	1760	1612551	1612551	1	1760	2070	2037
Clostridium_botulinum_202F_genomic	1491	species	species	100.00	100.00	0.00	2	3874462	27.4	82.71	3695	1491	1491	1491	1	1491	1491	186802
Myxococcus_fulvus_HW-1_genomic	33	species	species	100.00	99.22	1.62	1	9003594	70.6	90.24	7301	33	33	33	1	33	33	28221
Cenarchaeum_symbiosum_A_genomic	46770	species	phylum	70.40	99.03	0.00	6	1281157	57.4	88.72	1924	46770	46770	1	1	46770	46770	2157
Rhodobacter_sp_LPB0142_genomic	1850250	species	species	100.00	99.39	1.11	4	3462926	66.9	90.01	3681	1850250	1850250	1850250	1	31989	31989	31989
Saccharophagus_degradans_2-40_genomic	86304	species	species	100.00	100.00	1.29	1	5057532	45.8	87.30	4143	86304	86304	86304	316625	86304	86304	1236
Idiomarina_loihiensis_L2TR_genomic	135577	species	species	100.00	100.00	0.17	1	2839319	47.0	92.47	2658	135577	135577	135577	1	135577	135577	1236
Kosmotoga_olearia_TBF_1951_genomic	651457	species	species	100.00	100.00	1.72	1	2302127	41.5	89.36	2166	651457	651457	651457	651457	651457	651457	2
MR4-25-1B_S2_contigs	286	genus	genus	91.02	100.00	0.76	114	279629	58.9	88.49	5802	286	286	1	286	286	286	72274
Prochlorococcus_sp_MIT_0801_genomic	1501269	species	species	100.00	99.18	0.00	1	1929204	34.9	86.93	2199	1501269	1501269	1501269	1117	1501269	1501269	1117
Vibrio_coralliilyticus_OCN014_genomic	190893	species	species	100.00	99.26	0.81	3	3463115	45.8	88.16	5296	190893	190893	190893	1	190893	190893	662
Flavobacterium_psychrophilum_strain_MH1_genomic	96345	species	species	100.00	99.29	0.44	2	2211390	32.6	86.85	2508	96345	96345	96345	1	96345	96345	49546
Thermotoga_sp_Cell2_genomic	1157947	species	species	100.00	100.00	1.75	1	1749902	46.4	94.74	1825	1157947	1157947	1157947	1	2335	2335	2
Cellulophaga_lytica_strain_DAU203_genomic	979	species	species	100.00	99.67	0.00	1	3952958	32.0	91.35	3437	979	979	979	1	979	979	1
Pelagibacterium_halotolerans_B2_genomic	531813	species	species	100.00	99.18	0.55	2	3944837	61.4	89.96	3854	531813	531813	531813	1	531813	531813	356
Nonlabens_marinus_S1-08_genomic	930802	species	species	100.00	97.78	0.00	2	1469904	39.7	90.83	2683	930802	930802	930802	363408	49546	49546	1
Vw29_S11_contigs	80852	species	species	98.68	99.55	1.29	579	20837	38.6	87.21	4311	80852	80852	80852	2	511678	511678	641
Colwellia_sp_MT41_genomic	28228	genus	genus	100.00	100.00	0.73	1	4337946	39.4	82.98	3666	28228	28229	58049	28228	28229	28229	1236
R8-63_S2_contigs	40269	species	species	89.84	99.63	1.07	260	194283	39.2	85.86	3978	40269	40269	1	1	40269	511678	641
Rivularia_sp_PCC_7116_genomic	373994	species	species	100.00	99.78	1.22	3	8698463	37.5	79.27	6848	373994	373994	373994	1	373994	373994	1117
Chlorobium_phaeovibrioides_DSM_265_genomic	1094	species	species	100.00	98.36	1.09	1	1966859	53.0	91.76	1795	1094	1094	1094	1091	1094	1094	2
endosymbiont_of_unidentified_scaly_snail_isolate_Monju_genomic	1248727	species	species	100.00	98.90	0.64	1	2597760	65.1	89.34	2583	1248727	1248727	1248727	1	1236	1236	1236
A25_S9_contigs	511678	genus	genus	89.84	99.91	0.79	144	286294	38.7	87.74	3980	511678	511678	1	1236	511678	511678	641
alpha_proteobacterium_HIMB5_genomic	28211	class	class	100.00	100.00	0.48	1	1343203	28.6	96.31	1433	28211	859653	859653	1	859653	859653	766
Thalassolituus_oleivorans_MIL-1_genomic	187493	species	species	100.00	99.48	1.41	1	3920329	46.6	90.05	3584	187493	187493	187493	1	187493	187493	1236
Alteromonas_mediterranea_strain_CP48_genomic	314275	species	species	100.00	99.84	4.18	2	4324292	44.7	87.87	4262	314275	314275	314275	1	314275	314275	1236
S18_S5_contigs	228	species	species	99.21	100.00	0.84	343	49948	39.4	86.79	4330	228	228	53246	1236	228	228	1236
Leisingera_methylohalidivorans_DSM_14336_genomic	133924	species	species	100.00	99.82	0.00	3	4144874	62.3	86.32	4487	133924	133924	133924	191028	133924	133924	31989
Haloarcula_hispanica_ATCC_33960_genomic	2235	order	order	100.00	99.93	0.40	3	2995271	62.5	87.13	3908	2235	51589	51589	2237	51589	51589	2236
Methanohalobium_evestigatum_Z-7303_genomic	2322	species	species	100.00	100.00	1.96	2	2242317	36.4	86.28	2403	2322	2322	2322	2321	2322	2322	28890
Vw8_S10_contigs	80852	species	species	98.70	99.57	1.11	425	88334	38.3	86.73	4255	80852	80852	80852	2	511678	511678	641
A-H-1309-5-2_S7_contigs	80852	species	species	98.52	99.84	27.81	2127	45097	39.2	86.95	6770	80852	80852	80852	641	511678	641	641
GB02J01_S1_contigs	82996	species	species	97.35	100.00	125.96	3244	62114	57.2	87.71	11345	82996	82996	82996	1236	82996	1236	1
Methanocaldococcus_jannaschii_DSM_2661_genomic	2190	species	species	100.00	99.52	0.00	3	1664967	31.3	87.86	1877	2190	2190	2190	196118	2190	2190	28890
Brucella_sp_141012304_genomic	234	genus	genus	100.00	98.79	1.24	2	2145953	57.1	86.49	3226	234	234	1885919	118882	235	234	356
Pseudoalteromonas_issachenkonii_strain_KCTC_12958_genomic	53246	genus	genus	100.00	100.00	0.34	2	3402324	40.3	87.99	3649	53246	234831	152297	53246	234831	234831	1236
Woeseia_oceani_strain_XK5_genomic	1548547	species	species	100.00	90.99	2.28	1	4059892	57.8	90.51	3629	1548547	1548547	1548547	135613	1236	1236	1236
Persephonella_marina_EX-H1_genomic	309805	species	species	100.00	99.80	1.83	2	1930284	37.1	94.73	2054	309805	309805	309805	182899	309805	309805	2
Formosa_haliotis_strain_LMG_28520_genomic	225842	genus	genus	100.00	99.01	1.20	1	4305802	34.4	88.63	3736	225842	225842	1555194	1	49546	320324	1
2_S8_contigs	90736	species	species	91.57	99.82	0.81	199	443799	40.5	86.51	4168	90736	90736	1	1236	90736	90736	1236
Piscirickettsia_salmonis_strain_PM51819A_genomic	1238	species	species	100.00	98.81	0.00	3	3141542	39.7	82.84	3685	1238	1238	1238	1	1238	1238	1236
Archaeoglobus_profundus_DSM_5631_genomic	84156	species	species	100.00	99.84	0.00	2	1560622	42.0	93.11	1873	84156	84156	84156	1	84156	84156	28890
13_S13_contigs	1760	class	class	86.46	99.49	0.17	37	877856	59.5	92.48	3107	1760	1112215	1	85023	1112215	1112215	2037
Nitrosococcus_oceani_ATCC_19707_genomic	1229	species	species	100.00	97.35	0.00	2	3481691	50.3	86.95	3319	1229	1229	1229	1227	1229	1229	1236
Pseudomonas_litoralis_strain_2SM5_genomic	797277	species	species	100.00	99.57	0.09	2	3987842	58.5	90.40	3810	797277	797277	797277	286	286	286	1236
Vibrio_tubiashii_ATCC_19109_genomic	29498	species	species	100.00	100.00	0.76	6	3294490	45.0	87.73	5034	29498	29498	29498	1	29498	29498	662
Lacimicrobium_alkaliphilum_strain_KCTC_32984_genomic	1526571	species	species	100.00	99.71	0.98	1	4378836	50.6	88.85	3927	1526571	1526571	1526571	1	1236	135622	1236
Thermotoga_sp_2812B_genomic	2335	genus	genus	100.00	100.00	1.75	1	1843731	46.2	94.88	1842	2335	2335	1157948	1	2336	2335	2
Aliivibrio_wodanis_genomic	80852	species	species	100.00	99.70	1.22	6	3003353	38.5	87.06	4168	80852	80852	80852	1	511678	511678	641
T-217_S6_contigs	669041	species	species	98.58	98.77	0.17	296	39714	30.4	89.16	2534	669041	669041	669041	2	49546	49546	49546
MR4-64-2_S7_contigs	286	genus	genus	91.02	100.00	0.60	124	276171	58.9	88.50	5807	286	286	1	286	286	286	72274
A5_S5_contigs	40269	species	species	99.94	99.11	0.71	673	14256	39.0	86.75	4129	40269	40269	40269	2	40269	40269	641
6_S6_contigs	40269	species	species	99.91	99.39	2.87	509	27174	39.0	86.17	4160	40269	40269	40269	1236	40269	40269	641
Thermococcus_barophilus_CH5_genomic	55802	species	species	100.00	99.50	0.50	1	2388528	41.8	91.59	2657	55802	55802	55802	2263	55802	55802	28890
Candidatus_Pelagibacter_sp_IMCC9063_genomic	1002672	species	species	100.00	98.81	0.00	1	1284728	31.7	94.85	1424	1002672	1002672	1002672	1	1002672	1002672	2
Thermotoga_sp_RQ2_genomic	126740	species	species	100.00	100.00	3.51	1	1877694	46.2	95.00	1862	126740	126740	126740	1	2335	2335	2
Shewanella_halifaxensis_HAW-EB4_genomic	271098	species	species	100.00	99.84	0.00	1	5226918	44.6	83.84	4407	271098	271098	271098	1	271098	271098	135622
Streptococcus_iniae_SF1_genomic	1346	species	species	99.93	98.87	0.38	1	2149845	36.7	88.59	2106	1346	1346	1346	1301	1346	1346	186826
Spirochaeta_sp_L21-RPul-D2_genomic	1307761	species	species	100.00	100.00	0.40	1	3782799	51.9	90.60	3277	1307761	1307761	1307761	1616789	1307761	1307761	203692
Bdellovibrio_bacteriovorus_strain_109J_genomic	959	species	species	100.00	97.75	0.00	1	3830426	50.7	92.35	3638	959	959	959	958	959	959	2
TNX_S11_contigs	1	NA	NA	98.89	99.59	0.25	87	549605	41.6	88.37	3769	1	1408	561879	2	1408	1408	55087
Methanococcus_maripaludis_C7_genomic	39152	species	species	100.00	99.50	0.00	1	1772695	33.3	88.02	1833	39152	39152	39152	1	39152	39152	28890
Ignicoccus_hospitalis_KIN4_I_genomic	160233	species	species	100.00	99.37	0.84	1	1297539	56.5	92.63	1490	160233	160233	160233	54258	160233	160233	183924
Vibrio_coralliilyticus_RE98_genomic	190893	species	species	100.00	99.40	1.48	4	3420228	45.5	87.59	5663	190893	190893	190893	190893	190893	190893	662
Methanoplanus_petrolearius_DSM_11571_genomic	54120	species	species	100.00	99.67	1.31	1	2843291	47.4	88.02	2821	54120	54120	54120	230355	54120	54120	28890
Ruminiclostridium_thermocellum_DSM_2360_strain_LQRI_genomic	1515	species	species	100.00	99.33	0.00	1	3577580	39.2	85.16	3080	1515	1515	1515	541000	1515	1515	186802
Methanosarcina_siciliae_T4_M_genomic	2207	genus	genus	100.00	99.84	0.65	1	5017559	42.9	76.52	4232	2207	2214	38027	2207	2214	2214	28890
Piscirickettsia_salmonis_strain_AY6297B_genomic	1238	species	species	100.00	98.81	0.00	5	3187881	39.9	82.88	3585	1238	1238	1238	1	1238	1238	1236
TiE_S11_contigs	1282	species	species	98.89	99.67	0.03	460	83627	32.0	82.75	2701	1282	1282	1279	1239	1282	1282	1279
A-Hdes-11_S10_contigs	511678	genus	genus	98.98	99.86	0.36	242	123825	39.1	87.71	4552	511678	40269	688	1236	40269	40269	641
Methanoculleus_marisnigri_JR1_genomic	2198	species	species	100.00	99.35	1.31	1	2478096	62.1	87.14	2481	2198	2198	2198	1	2198	2198	28890
Nonlabens_sp_MIC269_genomic	363408	genus	genus	100.00	99.35	0.80	1	2884294	35.5	92.39	2622	363408	319236	1476901	1	319236	319236	49546
Octadecabacter_temperatus_strain_SB1_genomic	1458307	species	species	100.00	99.39	0.61	2	3233068	54.7	91.74	3302	1458307	1458307	1458307	1	31989	53945	31989
Haloquadratum_walsbyi_DSM_16790_genomic	183963	class	class	100.00	99.30	0.00	2	3132494	47.9	78.14	3071	183963	293091	293091	293431	293091	293091	2236
A-H1309-1-3_S8_contigs	80852	species	species	99.14	99.57	0.83	179	133373	38.4	87.36	4050	80852	80852	80852	2	511678	511678	641
Flavobacterium_psychrophilum_strain_PG2_genomic	96345	species	species	100.00	99.29	0.44	2	2850620	32.5	86.96	2509	96345	96345	96345	1	96345	96345	49546
T-2016-70-F4-3_S10_contigs	669041	species	species	98.66	98.77	0.17	337	81407	30.4	87.85	2456	669041	669041	669041	2	49546	49546	49546
Campylobacter_lari_strain_Slaughter_Beach_genomic	201	species	species	100.00	98.78	0.00	1	1563033	29.8	94.06	1573	201	201	201	194	201	201	29547
Alteromonas_macleodii_str_Ionian_Sea_U7_genomic	314275	species	species	100.00	99.55	0.59	1	4442918	44.8	87.27	3900	314275	314275	314275	1	314275	314275	1236
Synechococcus_sp_WH_7803_genomic	32051	species	species	100.00	99.18	0.00	1	2366981	60.2	93.01	2558	32051	32051	32051	1117	32051	32051	1117
Rhodothermus_marinus_SG05JP17-172_genomic	29549	species	species	100.00	100.00	0.00	3	3225536	64.3	91.31	2946	29549	29549	29549	29548	29549	29549	2
GB02J46_S10_contigs	40214	species	species	97.10	100.00	0.27	314	43386	41.4	86.06	3791	40214	40214	469	1236	40214	469	468
TiB_S10_contigs	1292	species	species	99.80	99.73	0.71	234	431776	32.3	85.84	2679	1292	1292	1292	2	1292	1292	1279
Piscirickettsia_salmonis_strain_PM23019A_genomic	1238	species	species	100.00	98.05	0.00	5	3054745	39.7	82.79	3543	1238	1238	1238	1237	1238	1238	1236
Geoglobus_ahangari_strain_234_genomic	190818	genus	genus	100.00	100.00	0.00	1	1770094	53.1	93.08	2033	190818	565033	113653	1	565033	565033	28890
Mehyloceanibacter_caenitepidi_Gela4_genomic	1384459	species	species	100.00	97.79	0.64	1	3424965	62.8	88.97	3294	1384459	1384459	1384459	1	356	356	356
Methanococcus_voltae_A3_genomic	2188	species	species	100.00	99.05	0.00	1	1936388	28.6	80.12	1727	2188	2188	2188	2184	2188	2188	28890
S26_S8_contigs	1270	species	species	90.50	98.06	1.15	242	160004	73.1	88.19	2538	1270	1270	1	1269	1270	1270	1268
4_S4_contigs	55601	species	species	99.91	99.72	0.44	373	63875	44.4	86.75	3918	55601	55601	55601	1236	55601	55601	641
Geoglobus_acetivorans_SBH6_genomic	565033	species	species	100.00	99.84	0.00	1	1860816	46.8	92.20	2232	565033	565033	565033	1	565033	565033	28890
Echinicola_vietnamensis_DSM_17526_genomic	390884	species	species	100.00	100.00	0.00	1	5608041	44.8	86.85	4631	390884	390884	390884	1	390884	390884	768507
Altererythrobacter_dongtanensis_strain_KCTC_22672_genomic	204457	order	order	100.00	99.52	0.17	1	3009496	65.8	93.01	2905	204457	204457	692370	1	41297	204457	204457
Vibrio_anguillarum_M3_genomic	55601	species	species	100.00	99.86	0.28	3	3063587	44.5	86.34	3737	55601	55601	55601	1	55601	55601	641
NML_S2_contigs	511678	genus	genus	98.33	99.73	0.84	291	94696	39.0	86.90	4358	511678	40269	688	2	40269	40269	641
Cellulophaga_lytica_strain_HI1_genomic	979	species	species	100.00	99.67	0.33	1	3824197	32.1	91.36	3334	979	979	979	1	979	979	1
Jannaschia_sp_CCS1_genomic	290400	species	species	100.00	99.39	0.45	2	4317977	62.2	90.38	4358	290400	290400	290400	1	290400	290400	31989
Paenibacillus_durus_DSM_1735_genomic	44251	species	species	100.00	99.80	3.14	2	6038347	50.8	86.22	5395	44251	44251	44251	44249	44251	44251	186822
Thermococcus_gammatolerans_EJ3_genomic	187878	species	species	100.00	100.00	0.00	1	2045439	53.6	92.59	2175	187878	187878	187878	2157	187878	187878	28890
A3_S3_contigs	40269	species	species	99.74	99.25	0.91	455	27956	38.7	86.27	4184	40269	40269	40269	2	40269	40269	641
Methylomonas_methanica_MC09_genomic	421	species	species	100.00	99.93	1.39	1	5051682	51.3	88.73	4614	421	421	421	416	421	421	1236
Methylophilales_bacterium_MBRSH7_genomic	314607	species	species	100.00	99.13	0.00	2	1352785	35.5	95.47	1423	314607	314607	32003	1	314607	314607	28216
Thermococcus_sp_4557_genomic	1042877	species	species	100.00	100.00	0.00	1	2011321	56.1	91.80	2118	1042877	1042877	1042877	2263	1042877	1042877	28890
Marinobacter_adhaerens_HP15_genomic	1033846	species	species	100.00	99.53	0.17	3	4421911	56.9	91.00	4354	1033846	1033846	1033846	2742	1033846	1033846	1236
Methanococcoides_methylutens_MM1_genomic	2226	species	species	100.00	100.00	0.00	1	2394637	44.0	86.63	2328	2226	2226	2226	2225	2226	2226	28890
Geobacillus_sp_12AMOR1_genomic	1422	species	species	97.64	99.45	0.55	2	3410035	52.0	84.50	3449	1422	1422	129337	129337	1422	1422	186817
A-H1309-4-3_S10_contigs	80852	species	species	98.70	99.84	1.70	252	100827	38.3	87.14	4261	80852	80852	80852	2	511678	511678	641
Flavobacterium_psychrophilum_strain_CSF259-93_genomic	96345	species	species	100.00	99.29	0.44	1	2900736	32.5	86.53	2545	96345	96345	96345	1	96345	96345	49546
Clostridium_stercorarium_subsp_thermolacticum_DSM_2910_genomic	1510	species	species	100.00	98.60	2.10	1	3035623	42.2	87.48	2630	1510	1510	1510	1	1510	1510	186802
