Genome	taxID	taxName	taxLvl	seqLvl	ANI	Completeness	Contamination	Strain_heterogeneity	Genome_size	Contigs	N50	GC	Coding_density	Predicted_genes	Lowest	RTLpath	Mash	Dada2	Centrifuge	Kaiju	CheckM	
Chlamy56	106589	Cupriavidus	genus	genus	95.50	99.94	0.23	0.00	5998012	24	466709	66.7	89.86	5408	106589	106589	106589	106589	119060	106589	119060
Chlamy194	80864	Comamonadaceae	family	family	85.80	99.77	0.85	40.00	5619245	18	458205	67.1	92.14	5247	80864	80864	1	1	80840	80864	80840
LjRoot94	358220	Acidovorax sp. KKS102	species	species	97.56	99.56	0.02	0.00	5278386	20	566187	64.5	89.56	4792	358220	358220	12916	12916	358220	358220	80840
Chlamy53	758826	Acidovorax radicis	species	species	98.82	99.94	0.53	0.00	5624298	17	1465925	64.8	89.11	5081	758826	758826	12916	12916	758826	758826	80840
Chlamy28	758826	Acidovorax radicis	species	species	98.82	99.75	0.90	0.00	5623877	19	756031	64.8	89.10	5080	758826	758826	12916	1	758826	758826	80840
3934_BK	1760	Actinobacteria	class	class	92.77	99.49	0.51	0.00	3599230	10	871640	67.7	91.97	3430	1760	33882	1	33882	85023	33882	2037
Chlamy24	40324	Stenotrophomonas maltophilia	species	species	98.82	100.00	0.04	0.00	4325502	28	245931	67.5	90.22	3872	40324	40324	40324	1	40324	40324	32033
Chlamy7	407019	Sphingomonas astaxanthinifaciens	species	species	87.43	99.89	0.00	0.00	2691547	2	2689922	67.3	92.12	2657	407019	407019	1	1	41297	407019	28211
Chlamy101	106590	Cupriavidus necator	species	species	95.37	99.69	97.65	83.15	14515989	257	135577	66.1	88.09	13336	106590	106590	106590	1224	106589	106589	2
LjRoot195	294	Pseudomonas fluorescens	species	species	99.55	100.00	0.11	0.00	6645543	57	252052	60.9	88.47	5852	294	294	286	1	294	294	72274
3823_S	85413	Bosea	genus	genus	90.38	98.75	0.94	0.00	6048791	20	480188	66.3	88.99	5774	85413	85413	1	85413	356	85413	356
3934_P	40323	Stenotrophomonas	genus	genus	92.63	99.80	0.04	0.00	4140890	20	391016	67.3	89.27	3544	40323	40323	1	1	40323	40323	32033
LjRoot165	32033	Xanthomonadaceae	family	family	89.63	99.61	0.94	20.00	4128024	5	2202475	67.0	90.51	3847	32033	32033	1	1	1236	32033	32033
Chlamy148	59732	Chryseobacterium	genus	genus	98.51	100.00	0.25	0.00	5085979	21	431618	36.3	88.15	4517	59732	59732	59732	1	1	59732	200644
Chlamy17	106589	Cupriavidus	genus	genus	97.69	100.00	104.17	93.10	14039959	124	274583	66.3	88.57	12805	106589	106589	106589	2	106589	106589	1
Chlamy168	59732	Chryseobacterium	genus	genus	96.55	100.00	100.00	0.00	10812936	108	231877	52.2	89.60	9658	59732	59732	59732	2	2	2	1
Chlamy191	53335	Pantoea	genus	genus	96.84	100.00	98.29	1.00	11044427	61	286386	61.7	88.10	10019	53335	53335	53335	53335	1224	1224	2
LjRoot17	41275	Brevundimonas	genus	genus	92.56	100.00	0.17	0.00	3429871	28	2671376	67.1	90.01	3325	41275	41275	1	1	41275	41275	28211
Chlamy206	34072	Variovorax	genus	genus	85.80	99.77	1.31	33.33	5622454	26	393324	67.1	92.10	5259	34072	34072	1	34072	80840	80864	80840
3934_K	435897	Lysobacter capsici	species	species	97.59	99.80	1.67	0.00	6366386	60	206058	66.2	83.75	5184	435897	435897	68	68	435897	435897	32033
Chlamy95	106589	Cupriavidus	genus	genus	95.50	99.94	0.23	0.00	5996669	23	466709	66.7	89.90	5407	106589	106589	106589	106589	119060	106589	119060
Chlamy100	106590	Cupriavidus necator	species	species	95.37	99.69	97.65	83.15	14515989	257	135577	66.1	88.09	13336	106590	106590	106590	1224	106589	106589	2
Chlamy93	40324	Stenotrophomonas maltophilia	species	species	98.81	100.00	0.04	0.00	4326244	28	286031	67.5	90.27	3872	40324	40324	40324	2	40324	40324	32033
Chlamy137	59732	Chryseobacterium	genus	genus	98.51	100.00	0.25	0.00	5086088	23	431933	36.3	88.16	4518	59732	59732	59732	1	1	59732	200644
LjRoot27	1760	Actinobacteria	class	class	91.75	66.86	3.95	71.43	2982789	1795	1683	71.6	90.28	4158	1760	1172188	1	1	1172188	1172188	2037
LjRoot34	119060	Burkholderiaceae	family	family	91.22	99.55	1.46	0.00	10193148	196	96031	59.6	84.01	9501	119060	196367	1	32008	1827195	196367	80840
LjNodule210	71433	Mesorhizobium amorphae	species	species	92.59	99.92	2.23	0.00	7708617	52	493748	62.7	86.22	7342	71433	71433	1	1	71433	71433	356
Chlamy13	34073	Variovorax paradoxus	species	species	93.49	100.00	0.00	0.00	6984708	21	677331	66.4	92.03	6365	34073	34073	1	34072	34073	34073	80840
Chlamy202	80864	Comamonadaceae	family	family	85.80	99.77	0.85	40.00	5618213	18	552514	67.1	92.12	5249	80864	80864	1	1	80840	80864	80840
3934_BS	1760	Actinobacteria	class	class	98.88	99.49	0.00	0.00	3535330	9	1856825	68.5	92.92	3381	1760	1247714	33882	1	1247714	1247714	2037
Chlamy36	106589	Cupriavidus	genus	genus	95.50	99.94	0.23	0.00	5996611	23	467982	66.7	89.89	5410	106589	106589	106589	1	119060	106589	119060
3823_F	384	Rhizobium leguminosarum	species	species	97.78	99.90	0.28	0.00	7044772	80	192503	60.9	86.85	6842	384	384	384	1	384	384	82115
3823_AP	34073	Variovorax paradoxus	species	species	98.47	100.00	0.47	0.00	6762676	36	458607	67.6	91.99	6335	34073	34073	34073	1	34073	34073	80840
Chlamy57	106589	Cupriavidus	genus	genus	95.50	99.94	0.23	0.00	5998012	24	466709	66.7	89.86	5408	106589	106589	106589	106589	119060	106589	119060
LjRoot192	12916	Acidovorax	genus	genus	89.77	99.81	0.51	0.00	5412610	19	645105	64.5	89.12	4899	12916	12916	1	1	12916	12916	80840
Chlamy55	758826	Acidovorax radicis	species	species	98.75	98.18	5.61	54.17	5573640	999	8220	64.6	88.81	5776	758826	758826	12916	1	758826	758826	80840
Chlamy144	149698	Massilia	genus	genus	91.88	99.55	1.39	0.00	5727442	74	160930	66.4	90.28	5063	149698	149698	1	1	149698	149698	80840
3823_U	82115	Rhizobiaceae	family	family	96.45	99.28	1.11	12.50	6444177	29	434563	61.5	88.54	6189	82115	379	1525371	1	379	379	82115
3934_AS	40323	Stenotrophomonas	genus	genus	92.56	99.80	0.04	0.00	4187593	10	787773	67.3	89.79	3577	40323	40323	1	40323	40323	40323	32033
3934_BL	85413	Bosea	genus	genus	90.12	99.37	0.00	0.00	5714079	52	194342	67.3	89.04	5436	85413	85413	1	85413	356	85413	356
Chlamy145	41275	Brevundimonas	genus	genus	91.07	99.68	0.00	0.00	3467771	19	622684	67.5	89.91	3204	41275	41275	1	1	41275	41275	28211
LjRoot121	358220	Acidovorax sp. KKS102	species	species	97.52	99.56	0.02	0.00	5030161	21	416631	65.0	89.87	4551	358220	358220	12916	12916	358220	358220	80840
3823_AC	32033	Xanthomonadaceae	family	family	88.32	99.61	0.82	0.00	4054551	4	2623376	62.8	89.66	3550	32033	32033	1	1	1236	32033	32033
Chlamy12	80864	Comamonadaceae	family	family	85.80	99.77	0.85	40.00	5619948	18	552514	67.1	92.10	5245	80864	80864	1	1	80840	80864	80840
Chlamy182	106589	Cupriavidus	genus	genus	98.87	99.89	0.69	0.00	5315233	50	335136	67.8	88.55	4686	106589	106589	106589	1	119060	106589	119060
Chlamy94	59732	Chryseobacterium	genus	genus	98.51	100.00	0.25	0.00	5086523	19	435385	36.3	88.15	4518	59732	59732	59732	1	1	59732	200644
LjRoot133	12916	Acidovorax	genus	genus	92.48	99.81	0.38	0.00	5219137	24	585652	65.4	89.60	4704	12916	12916	1	1	12916	12916	80840
LjRoot167	1736591	Phenylobacterium sp. Root700	species	species	95.58	99.73	2.11	11.11	4657400	10	1274733	67.4	90.64	4444	1736591	1736591	1736591	1	1	76892	28211
LjRoot97	28211	Alphaproteobacteria	class	class	90.62	99.51	2.71	0.00	4699021	12	530901	68.6	90.86	4593	28211	28211	1	1	1	28211	28211
LjRoot131	1144318	Polaromonas sp. CF318	species	species	91.88	99.84	0.00	0.00	5098671	63	143508	64.6	90.23	4718	1144318	1144318	1	1	1144318	1144318	80840
LjRoot201	358220	Acidovorax sp. KKS102	species	species	97.65	99.56	0.02	0.00	5187167	28	394328	64.9	89.75	4774	358220	358220	12916	12916	358220	358220	80840
LjRoot160	34073	Variovorax paradoxus	species	species	98.47	100.00	0.47	0.00	6720623	39	312729	67.7	91.99	6322	34073	34073	34073	34072	34073	34073	80840
Chlamy48	758826	Acidovorax radicis	species	species	98.82	99.75	0.90	0.00	5622822	19	709980	64.8	89.10	5084	758826	758826	12916	12916	758826	758826	80840
3934_O	12916	Acidovorax	genus	genus	98.48	99.87	0.38	0.00	5909393	34	457229	66.9	87.85	5238	12916	12916	12916	12916	12916	12916	80840
LjRoot172	34073	Variovorax paradoxus	species	species	98.46	100.00	0.47	0.00	6722309	38	312729	67.7	91.99	6319	34073	34073	34073	34072	34073	34073	80840
3934_E	40323	Stenotrophomonas	genus	genus	92.56	99.80	0.04	0.00	4186652	11	787791	67.3	89.78	3577	40323	40323	1	1	40323	40323	32033
LjRoot189	358220	Acidovorax sp. KKS102	species	species	97.56	99.56	0.02	0.00	5277854	23	347124	64.5	89.53	4789	358220	358220	12916	12916	358220	358220	80840
LjRoot187	358220	Acidovorax sp. KKS102	species	species	97.56	99.56	0.02	0.00	5283764	22	580003	64.5	89.55	4792	358220	358220	12916	1	358220	358220	80840
3823_AI	1510531	Bosea sp. UNC402CLCol	species	species	99.51	98.64	0.78	0.00	5273517	20	415385	66.3	89.76	5006	1510531	1510531	85413	1	356	1510531	356
Chlamy159	41275	Brevundimonas	genus	genus	91.07	99.68	0.00	0.00	3464710	15	644521	67.5	89.95	3200	41275	41275	1	1	41275	41275	28211
LjRoot67	12916	Acidovorax	genus	genus	92.37	99.81	0.00	0.00	5611592	58	218837	65.2	89.68	5239	12916	12916	1	1	12916	12916	80840
LjRoot6	294	Pseudomonas fluorescens	species	species	99.50	100.00	0.19	0.00	6754753	85	211845	60.8	88.20	5943	294	294	286	2	294	294	72274
Chlamy171	407019	Sphingomonas astaxanthinifaciens	species	species	87.43	99.89	0.00	0.00	2691498	2	2689873	67.3	92.09	2656	407019	407019	1	13687	41297	407019	28211
LjRoot50	1410620	Shinella sp. DD12	species	species	88.22	99.87	0.21	50.00	6515333	65	238017	62.4	88.96	6184	1410620	1410620	1	323620	82115	1410620	356
LjRoot99	34073	Variovorax paradoxus	species	species	98.46	100.00	0.93	0.00	6755892	29	483315	67.6	91.94	6345	34073	34073	34073	34072	34073	34073	80840
Chlamy176	1386	Bacillus	genus	genus	99.36	99.43	0.00	0.00	5899595	61	256825	34.8	83.37	5900	1386	1386	1386	2	1386	1386	1385
Chlamy82	59732	Chryseobacterium	genus	genus	98.51	100.00	0.25	0.00	5088568	18	851975	36.4	88.10	4514	59732	59732	59732	59732	1	59732	200644
LjRoot144	12916	Acidovorax	genus	genus	92.48	99.81	0.38	0.00	5218021	26	460471	65.4	89.60	4702	12916	12916	1	1	12916	12916	80840
LjRoot181	358220	Acidovorax sp. KKS102	species	species	97.63	99.56	0.02	0.00	5106542	28	516737	64.9	89.78	4617	358220	358220	12916	1	358220	358220	80840
3934_BP	12916	Acidovorax	genus	genus	90.80	99.78	1.16	0.00	5613379	19	598817	67.3	89.51	5064	12916	12916	1	1	12916	12916	80840
Chlamy163	2	Bacteria	superkingdom	superkingdom	94.09	100.00	189.93	1.17	19923817	4083	239421	51.7	88.06	23224	2	2	1	2	1	2	1
3823_V	399	Neorhizobium galegae	species	species	97.19	99.28	0.59	0.00	6013767	31	281460	61.4	89.00	5702	399	399	399	1525371	399	399	82115
LjRoot51	1410620	Shinella sp. DD12	species	species	88.22	99.87	0.21	50.00	6517831	66	247737	62.4	88.95	6191	1410620	1410620	1	323620	82115	1410620	356
3934_V	237	Flavobacterium	genus	genus	86.31	99.65	0.66	0.00	5324684	22	672826	33.9	89.28	4491	237	237	1	237	237	237	49546
3934_BC	1760	Actinobacteria	class	class	98.88	99.49	0.00	0.00	3535367	9	1856863	68.5	92.93	3380	1760	1247714	33882	1	1247714	1247714	2037
LjRoot80	1760	Actinobacteria	class	class	94.41	99.95	1.15	11.11	6318270	30	543141	67.4	92.56	6049	1760	1866885	1	1	1762	1866885	2037
3823_T	1500301	Rhizobium sp. CF097	species	species	90.80	99.09	1.30	0.00	6098827	91	177640	60.6	86.72	5915	1500301	1500301	1	379	1500301	379	82115
3823_AF	294	Pseudomonas fluorescens	species	species	99.55	100.00	0.11	0.00	6644360	63	215173	60.9	88.50	5856	294	294	286	1	294	294	72274
LjRoot13	1663	Arthrobacter	genus	genus	94.35	100.00	1.35	0.00	4435904	44	492921	65.9	89.59	4053	1663	1663	1	1663	1268	1268	1268
3934_BD	1736576	Pseudoxanthomonas sp. Root65	species	species	97.86	99.95	0.69	0.00	3986143	14	699095	67.6	90.15	3620	1736576	1736576	1736576	1	32033	32033	32033
LjRoot98	379	Rhizobium	genus	genus	99.08	99.51	6.88	2.04	6840108	348	522771	59.7	87.08	6806	379	379	379	379	356	379	82115
LjRoot157	32033	Xanthomonadaceae	family	family	89.63	91.33	0.60	0.00	3639880	2	2202475	67.0	90.59	3374	32033	32033	1	1	135614	32033	32033
3934_AA	216778	Stenotrophomonas rhizophila	species	species	97.88	99.89	0.04	0.00	4223414	18	543447	66.8	89.90	3702	216778	216778	216778	1	40323	40323	32033
LjRoot184	46914	Devosia riboflavina	species	species	89.32	99.73	0.45	0.00	4971336	8	2764203	61.6	89.90	4819	46914	46914	1	46913	46914	46914	356
LjRoot180	12916	Acidovorax	genus	genus	97.72	99.43	0.64	0.00	7133642	57	255480	66.6	89.80	6642	12916	12916	12916	1	80864	12916	80840
LjRoot33	963	Herbaspirillum	genus	genus	94.14	99.51	0.81	0.00	5220914	20	533696	60.7	88.97	4741	963	963	1	1	963	963	80840
LjRoot12	1760	Actinobacteria	class	class	98.92	99.49	0.52	0.00	4059218	36	1084251	68.1	92.15	3882	1760	1452535	33882	1	1452535	1452535	2037
Chlamy169	41275	Brevundimonas	genus	genus	91.07	99.68	0.00	0.00	3472320	21	622549	67.4	89.76	3203	41275	41275	1	1	41275	41275	28211
Chlamy190	106589	Cupriavidus	genus	genus	95.50	99.94	0.23	0.00	5995403	24	466709	66.7	89.90	5409	106589	106589	106589	106589	119060	106589	119060
3823_AO	76890	Asticcacaulis	genus	genus	86.46	100.00	2.27	57.14	3717215	23	592855	59.2	89.79	3352	76890	76890	1	76890	1	76890	28211
LjRoot90	85413	Bosea	genus	genus	89.84	99.37	1.10	0.00	5873253	22	692218	66.4	90.03	5606	85413	85413	1	1	28211	85413	356
3934_AG	75682	Oxalobacteraceae	family	family	87.79	99.72	0.99	0.00	5886478	37	513394	64.0	92.56	5338	75682	75682	1	28216	1224	75682	80840
Chlamy120	59732	Chryseobacterium	genus	genus	98.51	100.00	0.25	0.00	5086230	22	435385	36.3	88.14	4516	59732	59732	59732	1	1	59732	200644
Chlamy50	758826	Acidovorax radicis	species	species	98.82	99.94	0.90	0.00	5624389	17	1465925	64.8	89.14	5089	758826	758826	12916	1	758826	758826	80840
LjRoot170	34073	Variovorax paradoxus	species	species	98.47	100.00	0.47	0.00	6723338	35	345806	67.7	91.99	6319	34073	34073	34073	34072	34073	34073	80840
LjRoot2	1410620	Shinella sp. DD12	species	species	88.32	99.87	0.80	10.00	6552044	88	238017	62.4	88.82	6217	1410620	1410620	1	1	82115	1410620	356
LjRoot46	1410620	Shinella sp. DD12	species	species	88.22	99.87	0.21	50.00	6473814	64	237864	62.4	88.96	6136	1410620	1410620	1	1	82115	1410620	356
3934_N	237	Flavobacterium	genus	genus	86.31	99.65	0.66	0.00	5323354	25	672826	33.9	89.28	4494	237	237	1	237	237	237	49546
Chlamy179	85413	Bosea	genus	genus	88.32	99.37	0.00	0.00	4654299	36	289675	65.3	89.18	4472	85413	85413	1	1	1224	85413	356
Chlamy115	1268	Micrococcaceae	family	family	98.36	99.71	0.15	0.00	5074867	40	379819	62.6	90.26	4676	1268	29320	1268	1663	29320	29320	1268
Chlamy208	80864	Comamonadaceae	family	family	85.80	99.77	0.85	40.00	5619322	18	458296	67.1	92.13	5249	80864	80864	1	1	80840	80864	80840
Chlamy187	106590	Cupriavidus necator	species	species	99.15	99.94	0.35	0.00	8053582	55	458094	65.9	87.65	7377	106590	106590	106589	106589	106590	106590	119060
LjRoot104	379	Rhizobium	genus	genus	91.71	99.42	0.82	0.00	6643157	37	573573	61.6	88.19	6408	379	379	1	1	379	379	82115
Chlamy111	106590	Cupriavidus necator	species	species	97.82	100.00	104.17	89.66	12721435	82	347715	66.9	88.25	11521	106590	106590	106589	2	106590	106589	1
3823_Y	374	Bradyrhizobium	genus	genus	97.71	99.87	0.34	0.00	6848260	42	318660	64.4	87.48	6452	374	374	374	1	374	374	41294
Chlamy150	41275	Brevundimonas	genus	genus	91.07	99.68	0.00	0.00	3469707	20	577468	67.5	89.82	3204	41275	41275	1	1	41275	41275	28211
LjRoot62	34073	Variovorax paradoxus	species	species	98.56	100.00	0.47	0.00	6726897	19	585239	67.7	92.14	6258	34073	34073	34073	34072	34073	34073	80840
3823_AL	41275	Brevundimonas	genus	genus	88.12	100.00	0.00	0.00	2850810	13	503229	70.0	90.89	2850	41275	41275	1	41275	28211	41275	28211
Chlamy196	80864	Comamonadaceae	family	family	85.80	99.77	0.85	40.00	5619231	19	458308	67.1	92.11	5247	80864	80864	1	1	80840	80864	80840
Chlamy25	106590	Cupriavidus necator	species	species	97.81	100.00	101.72	77.57	13374792	102	355124	66.7	88.05	12094	106590	106590	106589	106590	106589	106589	2
Chlamy170	2	Bacteria	superkingdom	superkingdom	84.58	100.00	94.83	0.00	7972024	27	681534	66.9	91.63	7432	2	2	1	1	2	2	2
3823_AN	379	Rhizobium	genus	genus	97.06	99.66	1.57	5.88	7016330	77	252238	59.9	86.10	6831	379	379	379	1	379	379	82115
LjRoot20	1690268	Acidovorax sp. SD340	species	species	96.85	99.62	1.59	0.00	5713020	61	492427	64.4	89.20	5248	1690268	1690268	1690268	1	12916	12916	80840
Chlamy77	149698	Massilia	genus	genus	91.88	99.55	1.39	0.00	5727712	56	237487	66.4	90.28	5044	149698	149698	1	149698	149698	149698	80840
Chlamy205	1760	Actinobacteria	class	class	83.53	99.49	0.67	0.00	3994684	36	489975	69.1	92.58	3717	1760	33882	1	33882	1760	33882	2037
Chlamy52	1760	Actinobacteria	class	class	87.55	99.49	0.67	50.00	4269179	7	1826617	68.8	92.92	4120	1760	33882	1	33882	33882	33882	2037
3934_AQ	40323	Stenotrophomonas	genus	genus	92.56	99.80	0.04	0.00	4185824	15	530128	67.3	89.79	3579	40323	40323	1	1	40323	40323	32033
3934_W	1144338	Pseudomonas sp. GM79	species	species	96.00	100.00	0.24	0.00	6070165	60	170753	58.7	87.47	5457	1144338	1144338	286	1	1144338	286	72274
Chlamy209	80864	Comamonadaceae	family	family	85.80	99.77	0.85	40.00	5618156	19	458364	67.1	92.08	5244	80864	80864	1	1	80840	80864	80840
LjRoot154	294	Pseudomonas fluorescens	species	species	99.93	100.00	0.11	0.00	6504463	54	240902	61.0	88.27	5747	294	294	286	1	294	294	72274
Chlamy51	758826	Acidovorax radicis	species	species	98.82	99.94	0.53	0.00	5622655	18	927688	64.8	89.11	5083	758826	758826	12916	12916	758826	758826	80840
3934_CO	40323	Stenotrophomonas	genus	genus	92.56	99.80	0.04	0.00	4187150	15	412119	67.3	89.79	3577	40323	40323	1	1	40323	40323	32033
LjRoot188	358220	Acidovorax sp. KKS102	species	species	97.56	99.56	0.02	0.00	5277658	24	319708	64.5	89.55	4791	358220	358220	12916	1	358220	358220	80840
3934_C	1736576	Pseudoxanthomonas sp. Root65	species	species	97.94	99.78	0.69	0.00	4032270	8	1365351	67.4	89.69	3641	1736576	1736576	1736576	1	32033	32033	32033
3934_BE	41275	Brevundimonas	genus	genus	86.76	100.00	0.32	0.00	3450004	11	500621	69.0	91.24	3379	41275	41275	1	41275	28211	41275	28211
Chlamy23	29320	Paenarthrobacter nicotinovorans	species	species	98.17	92.25	3.40	75.00	4661558	1523	3993	62.6	90.27	5444	29320	29320	1268	1	29320	29320	1268
3934_BM	82115	Rhizobiaceae	family	family	97.07	99.91	0.56	0.00	5734638	65	254722	59.0	87.41	5410	82115	357	1035271	1	357	357	82115
LjRoot75	358220	Acidovorax sp. KKS102	species	species	97.52	99.56	0.59	0.00	5038661	28	531914	65.0	89.83	4559	358220	358220	12916	12916	358220	358220	80840
Chlamy74	41275	Brevundimonas	genus	genus	91.07	99.68	0.00	0.00	3472587	20	485276	67.4	89.77	3204	41275	41275	1	1	41275	41275	28211
LjRoot21	83618	Pseudoxanthomonas	genus	genus	91.07	99.95	1.21	0.00	4357980	56	722640	67.1	89.59	3973	83618	83618	1	83618	135614	32033	32033
3934_AZ	32033	Xanthomonadaceae	family	family	90.56	99.66	0.46	0.00	4118656	27	366809	67.6	91.21	3805	32033	32033	1	1	32033	32033	32033
LjRoot109	358220	Acidovorax sp. KKS102	species	species	97.65	99.56	0.02	0.00	5187907	26	412104	64.9	89.71	4772	358220	358220	12916	12916	358220	358220	80840
3934_CP	1144338	Pseudomonas sp. GM79	species	species	99.25	100.00	0.11	0.00	6331084	29	448638	58.8	88.16	5695	1144338	1144338	286	1	1144338	1144338	72274
Chlamy139	149698	Massilia	genus	genus	91.88	99.55	1.39	0.00	5726810	80	160930	66.4	90.29	5063	149698	149698	1	1	149698	149698	80840
Chlamy46	758826	Acidovorax radicis	species	species	98.82	99.75	0.53	0.00	5624308	17	756031	64.8	89.11	5085	758826	758826	12916	1	758826	758826	80840
Chlamy79	149698	Massilia	genus	genus	91.88	99.55	1.39	0.00	5728546	62	175680	66.4	90.29	5052	149698	149698	1	149698	149698	149698	80840
Chlamy68	106589	Cupriavidus	genus	genus	95.50	99.94	0.23	0.00	5996434	30	448274	66.7	89.89	5413	106589	106589	106589	106589	119060	106589	119060
Chlamy199	407019	Sphingomonas astaxanthinifaciens	species	species	87.43	99.89	0.00	0.00	2730231	3	2656402	67.3	92.09	2716	407019	407019	1	13687	41297	407019	28211
3934_BZ	12916	Acidovorax	genus	genus	98.48	99.87	0.38	0.00	5910560	36	368576	66.9	87.89	5237	12916	12916	12916	12916	12916	12916	80840
3823_AA	384	Rhizobium leguminosarum	species	species	97.81	99.90	1.37	0.00	7808587	90	207562	60.5	86.58	7511	384	384	384	379	384	384	82115
LjRoot9	85413	Bosea	genus	genus	95.21	99.69	1.87	0.00	6827727	71	349913	65.4	88.46	6288	85413	85413	85413	85413	28211	85413	356
3823_AV	1395974	Tardiphaga	genus	genus	95.30	100.00	100.00	5.36	12087232	115	221253	64.7	87.71	11142	1395974	1395974	1395974	28211	28211	28211	1
LjRoot77	32033	Xanthomonadaceae	family	family	89.63	99.61	0.94	20.00	4126926	6	2202475	67.0	90.50	3849	32033	32033	1	1	1236	32033	32033
3823_A	20	Phenylobacterium	genus	genus	81.77	99.68	3.17	1.33	5462329	95	107826	69.6	88.12	5204	20	20	1	20	1	28211	28211
3934_CB	1410620	Shinella sp. DD12	species	species	92.01	100.00	0.00	0.00	6321508	58	275633	62.8	89.33	5937	1410620	1410620	1	323620	82115	1410620	356
Chlamy132	2	Bacteria	superkingdom	superkingdom	96.14	100.00	97.41	0.00	11062509	52	412765	64.8	89.84	10037	2	1663	1268	1663	2	1224	2
Chlamy65	106589	Cupriavidus	genus	genus	95.50	99.94	0.23	0.00	5996434	30	448274	66.7	89.89	5413	106589	106589	106589	106589	119060	106589	119060
3934_BR	12916	Acidovorax	genus	genus	98.48	99.94	0.38	0.00	5910965	35	686412	66.9	87.87	5240	12916	12916	12916	12916	12916	12916	80840
Chlamy54	758826	Acidovorax radicis	species	species	98.82	99.75	0.90	0.00	5625130	15	1112696	64.8	89.11	5085	758826	758826	12916	1	758826	758826	80840
LjRoot16	46913	Devosia	genus	genus	98.13	99.44	1.90	0.00	5983874	75	624397	65.2	88.65	5720	46913	46913	46913	46913	1	356	356
LjNodule217	71433	Mesorhizobium amorphae	species	species	92.59	99.92	2.23	0.00	7707172	55	493748	62.7	86.19	7342	71433	71433	1	68287	71433	71433	356
LjRoot4	85413	Bosea	genus	genus	91.88	99.58	3.80	0.00	5814339	203	573426	65.7	88.59	5558	85413	85413	1	1	356	85413	356
Chlamy174	1760	Actinobacteria	class	class	83.82	99.49	0.51	0.00	3910770	29	425732	69.2	92.68	3630	1760	33882	1	33882	1760	33882	2037
Chlamy149	149698	Massilia	genus	genus	91.07	99.95	1.69	14.29	5810342	83	141539	66.1	89.85	5049	149698	149698	1	2	149698	149698	80840
3934_BJ	12916	Acidovorax	genus	genus	96.63	100.00	95.83	0.00	11596445	457	81118	67.1	88.41	10909	12916	12916	12916	1	1224	1224	1
Chlamy103	59732	Chryseobacterium	genus	genus	98.51	100.00	0.25	0.00	5085988	21	435385	36.3	88.16	4518	59732	59732	59732	1	1	59732	200644
LjRoot29	196367	Caballeronia sordidicola	species	species	89.70	99.95	2.59	6.25	7921463	166	124805	59.5	84.95	7303	196367	196367	1	1	196367	196367	80840
Chlamy64	59732	Chryseobacterium	genus	genus	98.51	100.00	0.25	0.00	5084647	23	377292	36.3	88.17	4517	59732	59732	59732	59732	1	59732	200644
Chlamy22	59732	Chryseobacterium	genus	genus	97.40	100.00	114.00	0.00	13402101	1593	142340	42.1	85.62	13821	59732	59732	2	59732	2	2	1
LjRoot111	294	Pseudomonas fluorescens	species	species	99.88	100.00	0.11	0.00	6621963	53	184683	60.9	88.25	5863	294	294	286	1	294	294	72274
LjNodule215	71433	Mesorhizobium amorphae	species	species	92.59	99.92	2.23	0.00	7705956	58	417746	62.7	86.20	7343	71433	71433	1	1	71433	71433	356
3934_CN	2	Bacteria	superkingdom	superkingdom	94.14	100.00	189.03	0.66	14484751	1705	34955	62.1	89.09	14273	2	1236	1	1663	1236	1236	1
3934_CC	165697	Sphingopyxis	genus	genus	88.89	98.03	5.83	58.82	5018921	998	7623	65.0	91.37	5447	165697	165697	1	2	165697	165697	204457
LjRoot3	46914	Devosia riboflavina	species	species	90.25	100.00	0.39	0.00	4847736	61	768895	61.6	89.48	4617	46914	46914	1	1	46914	46914	356
LjRoot43	294	Pseudomonas fluorescens	species	species	99.52	100.00	0.13	0.00	6706784	53	295579	60.9	88.41	5922	294	294	286	1	294	294	72274
3934_J	435897	Lysobacter capsici	species	species	97.59	99.80	1.67	0.00	6368987	63	170876	66.1	83.74	5183	435897	435897	68	68	435897	435897	32033
LjRoot147	294	Pseudomonas fluorescens	species	species	99.93	100.00	0.11	0.00	6507008	51	183946	61.0	88.21	5752	294	294	286	1	294	294	72274
Chlamy154	149698	Massilia	genus	genus	91.88	99.55	1.39	0.00	5728794	57	198036	66.4	90.30	5044	149698	149698	1	1	149698	149698	80840
LjRoot1	222	Achromobacter	genus	genus	97.72	98.28	3.13	0.00	6352129	165	813336	65.4	89.99	5819	222	222	222	222	222	222	2
LjRoot39	1736315	Pseudorhodoferax sp. Leaf265	species	species	95.07	100.00	0.55	0.00	7998099	72	251702	69.2	92.46	7403	1736315	1736315	1736315	747294	80840	80864	80840
3823_J	68287	Mesorhizobium	genus	genus	91.52	99.51	0.82	0.00	6874844	31	1072704	62.4	86.72	6632	68287	68287	1	1	68287	68287	356
LjRoot74	12916	Acidovorax	genus	genus	92.45	99.81	0.00	0.00	5654918	57	219016	65.2	89.70	5295	12916	12916	1	1	12916	12916	80840
3934_BY	40323	Stenotrophomonas	genus	genus	92.56	99.80	0.04	0.00	4185522	11	530128	67.3	89.82	3578	40323	40323	1	40323	40323	40323	32033
